title,type,premiere_date,tmdb_id,original_language,production_countries,runtime_min,genres_tmdb,cast_popularity_max,cast_popularity_mean,crew_popularity_max,is_ip_adaptation,episode_count_s1,episode_runtime_avg_s1,release_cadence,imdb_id,keywords,has_keywords,wiki_views_28d,wiki_has_views,wiki_views_28d_log,imdb_rating_used,imdb_rating_source,imdb_votes_used,tmdb_vote_average,tmdb_vote_count,tmdb_popularity,weeks_top10_global,ever_top10_global,best_rank_global,total_hours_top10_global,total_views_top10_global,first28d_weeks_global,first28d_hours_global,first28d_views_global
All the Sharks,series,2025-07-04,294011,en,,,Documentary,0.1021,0.102,,0,6,44.2,binge,tt37333650,"reality competition, scuba diving, shark encounter, sharks, tv games",1,,0,,7.62,s1,75,7.75,10,1.0606,0,0,0,0,0,0,0,0
Too Hot to Handle: Italy,series,2025-07-18,286867,it,,,Reality,0.072,0.072,,0,8,46.8,binge,tt36255016,"female nudity, female rear nudity, dating and romance reality tv, dating show",1,,0,,4.3,s1,66,6.438,8,0.9509,0,0,0,0,0,0,0,0
Love Never Lies: South Africa,series,2024-11-29,274912,en,,,Reality,0.0559,0.056,,0,8,51.4,binge,tt34724701,"dating show, lie detection",1,,0,,6.4,series,0,10,1,0.6966,0,0,0,0,0,0,0,0
Too Hot to Handle: Spain,series,2025-06-13,292225,es,,,Reality,0.0546,0.055,,0,8,43.6,binge,tt37028195,"female nudity, female rear nudity, dating and romance reality tv, dating show",1,,0,,,,,6.8,21,0.7833,0,0,0,0,0,0,0,0
Battle Camp,series,2025-04-23,287366,en,,,Reality,0.0416,0.042,,0,10,52.6,binge,tt32501190,"mental, camp, camping, contestant, physical game show",1,1687,1,7.431299675,7.38,s1,418,6.7,13,0.6609,1,1,8,20300000,2300000,1,20300000,2300000
W.A.G.s to Riches,series,2025-01-22,279991,en,,,Reality,0.0377,0.012,,0,8,34.2,binge,tt34991330,,0,,0,,3.9,s1,9,7.4,5,0.2692,1,1,8,10400000,2300000,1,10400000,2300000
First They Killed My Father,film,2017-09-15,433247,en,US,136,"War,Drama,History",0.7442,0.491,7.4646,0,,,,tt4882376,"genocide, cambodia, khmer rouge, crime against humanity, forced labor",1,181679,1,12.11000218,7.2,film,21437,7.4,696,7.6067,0,0,0,0,0,0,0,0
The Last Mercenary,film,2021-07-30,729720,fr,FR,110,"Action,Comedy",4.3491,1.879,6.434,0,,,,tt12808182,"agent, mafia, secret, operation, secret service",1,91238,1,11.42123772,5.3,,10314,6.4,645,2.2364,6,1,1,54770000,0,4,50920000,0
Bruised,film,2021-11-24,718633,en,"GB,US",129,Drama,4.686,1.992,4.686,0,,,,tt8310474,"mma, mixed martial arts, fighter, career, woman",1,374551,1,12.83348592,6.2,film,16234,6.826,460,10.7499,3,1,2,80040000,0,3,80040000,0
6 Underground,film,2019-12-13,509967,en,"AE,AT,CA,CH,CN,DE,FR,GB,HU,IT,SG,TH,US",128,"Action,Comedy,Thriller",4.5391,3.997,4.1954,0,,,,tt8106534,"ensemble cast, reference to beaver cleaver, reference to hugh beaumont, reference to ward cleaver, yacht",1,1918277,1,14.46693847,6.1,film,207885,6.34,4986,13.5681,3,1,5,23940000,0,0,0,0
The Midnight Sky,film,2020-12-23,614911,en,US,118,"Science Fiction,Drama",3.168,2.279,3.168,0,,,,tt10539608,"spaceship, scientist, survival, space adventure, astronaut",1,2222376,1,14.6140879,5.7,,92765,5.732,1929,4.5418,0,0,0,0,0,0,0,0
Wingwomen,film,2023-11-01,1010928,fr,FR,114,"Action,Comedy,Drama",3.0466,1.901,3.0466,0,,,,tt21638298,"based on comic strip, based on comic, based on franco belgian comic book, heist crime, male full frontal nudity",1,,0,,5.7,,7979,6.095,481,3.7344,4,1,1,70700000,36600000,4,70700000,36600000
Maestro,film,2023-12-20,523607,en,US,129,"Drama,Romance,Music",4.0974,2.845,3.0142,0,,,,tt5535276,"marriage, actress, gay kiss, gay, bisexual man",1,1295896,1,14.07471368,6.5,film,67592,6.291,790,4.4045,0,0,0,0,0,0,0,0
Hillbilly Elegy,film,2020-11-24,592984,en,US,117,Drama,4.1276,2.899,2.9879,0,,,,tt6772802,"mother son relationship, mother daughter relationship, dysfunctional family, drugs, addiction",1,660150,1,13.40022388,6.7,film,58387,6.7,983,4.7687,2,1,8,15300000,7800000,0,0,0
We Have a Ghost,film,2023-02-24,852096,en,US,127,"Horror,Comedy",4.6138,2.975,2.9598,0,,,,tt7798604,"ghost, house, chase, car chase, reference to covid 19",1,492876,1,13.10801493,6.1,,36164,6.5,646,2.9889,5,1,1,105980000,0,4,102440000,0
The Cloverfield Paradox,film,2018-02-04,384521,en,US,102,"Horror,Thriller,Science Fiction",4.4406,2.745,2.8989,0,,,,tt2548396,"energy crisis, particle accelerator, space station, alternate dimension, alternate reality",1,2464053,1,14.71731852,5.5,,119185,5.628,3432,4.9148,0,0,0,0,0,0,0,0
White Noise,film,2022-12-30,744594,en,"GB,US",136,"Comedy,Drama",2.3626,1.731,2.8989,0,,,,tt6160448,"professor, evacuation, toxic cloud, fourth marriage, mother daughter relationship",1,970342,1,13.7854049,5.7,,46969,5.561,760,4.0474,2,1,4,29090000,0,2,29090000,0
Guillermo del Toro's Pinocchio,film,2022-12-09,555604,en,US,117,"Animation,Fantasy,Adventure,Drama",5.8661,3.905,2.8511,0,,,,tt1488589,"magic, monkey, stop motion animation, pinocchio character, italy",1,167180,1,12.02683234,7.6,film,123566,8.042,3169,6.8301,4,1,1,98050000,0,4,98050000,0
Good News,film,2025-10-17,1296404,ko,KR,136,"Thriller,Comedy,History",3.4334,2.814,2.7414,0,,,,tt33550069,"hijack, 20th century, plane, airplane, 1970s",1,166649,1,12.02365108,6.4,film,865,7.013,39,8.7325,2,1,8,10300000,4500000,2,10300000,4500000
"Hello, Goodbye, and Everything in Between",film,2022-07-06,745376,en,US,83,"Romance,Drama",2.3186,1.492,2.6989,0,,,,tt4181158,"love, dramedy, romantic, high school, school",1,24408,1,10.1027072,5.2,film,4744,6.171,260,1.4741,2,1,7,16430000,0,2,16430000,0
Once Upon a Crime,film,2023-09-14,1122634,ja,JP,105,"Fantasy,Comedy,Crime",7.3823,3.842,2.6785,0,,,,tt15944018,"fairy tale, little red riding hood, magic, cinderella character, little red riding hood character",1,731,1,6.595780514,5.3,film,2248,6.29,136,2.7357,3,1,1,18100000,10100000,3,18100000,10100000
